,importance,count
opening_Benoni Defense,-0.0014894853582507449,31
opening_Borg Defense,-0.0014935409561801579,2
opening_Lemming Defense,-0.0018987484071243317,1
opening_Bogo-Indian Defense,-0.0018987484071243317,1
opening_Mexican Defense,-0.0018987484071243317,1
opening_London System,-0.0018987484071243317,1
opening_Slav Indian,-0.0018987484071243317,1
opening_Paleface Attack,-0.0023072308095962867,4
opening_Richter-Veresov Attack,-0.0026854837732514865,2
opening_Petrov,-0.0026854837732514865,2
opening_Barnes Opening,-0.0026854837732514865,2
opening_Franco-Benoni Defense,-0.005301966538092143,10
opening_Torre Attack,-0.005551437682013935,5
opening_Budapest Defense,-0.007803075576442783,12
opening_Englund Gambit Complex Declined,-0.007993580471955601,3
opening_Kangaroo Defense,-0.008310189216537561,2
opening_Old Indian Defense,-0.010981100180090372,25
opening_Van Geet Opening,-0.011514427067095021,19
opening_Englund Gambit Declined,-0.013082400290483022,20
opening_Blackmar-Diemer Gambit,-0.013086514828938653,17
opening_Old Benoni Defense,-0.013512419008844031,30
opening_Queen's Gambit Declined,-0.013744836796923694,116
opening_Van't Kruijs Opening,-0.014761314417599427,235
opening_Giuoco Piano,-0.016666163638829053,16
opening_Grob Opening,-0.01734569786693097,5
opening_Italian Game,-0.017448258522531054,203
opening_Queen's Pawn Opening,-0.01810714215850364,4
opening_Colle System,-0.01856335014176302,6
opening_Kadas Opening,-0.019729584277488797,8
opening_Englund Gambit Complex,-0.02729860273160632,6
opening_Mieses Opening,-0.03195043248432448,58
opening_Robatsch (Modern) Defense,-0.033301536166953714,22
opening_English Opening,-0.03957543422350509,164
opening_Gunderam Defense,-0.04328518181066404,3
opening_Caro-Kann Defense,-0.0512942176248426,122
opening_Center Game,-0.05288618478194884,56
opening_Rat Defense,-0.05587268132300851,23
opening_Elephant Gambit,-0.05659325214907794,11
opening_Pirc Defense,-0.05840179636632916,83
opening_King's Knight Opening,-0.060361258022785,33
opening_French Defense,-0.06745755333587458,414
opening_English Defense,-0.07206512430300732,34
opening_Lasker Simul Special,-0.07876930988678295,1
opening_Nimzowitsch-Larsen Attack,-0.0796053333577477,1
opening_Czech Defense,-0.08415893159027184,1
opening_Yusupov-Rubinstein System,-0.08672386660226153,1
opening_Sicilian Defense,-0.08681907968394051,507
opening_Queen's Indian Defense,-0.09378161775050016,1
opening_Ruy Lopez Defense,-0.09384331243956667,1
opening_Anderssen Opening,-0.12546683783274606,2
num_moves,-0.1413085808444562,345834
opening_Goldsmith Defense,-0.1549176101917861,3
opening_Tarrasch Defense,-0.1612645601781467,3
opening_Canard Opening,-0.19046607725205908,3
opening_Latvian Gambit,-0.2509586474121524,6
black_elo,-0.9588591902932191,8611593
